
  ============================================================
  Heat Equation - PCG
  Preconditioner: Identity
  Maximum Iterations: 10000
  Tolerance: 1.0e-10 (Relative)
  ============================================================
  Iter    Res[T]          Elapsed   
  [PCG] converged: 5 iterations, res[T] 8.3305e-14, avg 2.18e+06 flops/iter, 3.994s
  0       1.5644e-03      4.026s
  1       4.8021e-09      4.031s
  2       2.3836e-12      4.037s
  3       2.5856e-13      4.042s
  4       6.5588e-14      4.048s
  [PCG] converged: 4 iterations, res[T] 6.5588e-14, avg 2.75e+06 flops/iter, 4.048s
  0       1.4237e-03      4.080s
  1       3.2029e-09      4.086s
  2       2.1622e-12      4.091s
  3       1.6212e-13      4.097s
  4       5.5859e-14      4.103s
  [PCG] converged: 4 iterations, res[T] 5.5859e-14, avg 2.78e+06 flops/iter, 4.103s
  0       1.2957e-03      4.135s
  1       2.1363e-09      4.141s
  2       2.3158e-12      4.146s
  3       1.8433e-13      4.152s
  4       5.6211e-14      4.157s
  [PCG] converged: 4 iterations, res[T] 5.6211e-14, avg 2.80e+06 flops/iter, 4.157s
  0       1.1791e-03      4.189s
  1       1.4249e-09      4.195s
  2       2.6135e-12      4.200s
  3       2.3565e-13      4.206s
  4       6.6167e-14      4.211s
  [PCG] converged: 4 iterations, res[T] 6.6167e-14, avg 2.82e+06 flops/iter, 4.211s
  0       1.0731e-03      4.243s
  1       9.5037e-10      4.249s
  2       3.0630e-12      4.254s
  3       2.6304e-13      4.260s
  4       7.6410e-14      4.265s
  [PCG] converged: 4 iterations, res[T] 7.6410e-14, avg 2.85e+06 flops/iter, 4.265s
  0       9.7655e-04      4.298s
  1       6.3388e-10      4.303s
  2       3.5746e-12      4.309s
  3       3.5179e-13      4.314s
  4       9.5418e-14      4.320s
  [PCG] converged: 4 iterations, res[T] 9.5418e-14, avg 2.87e+06 flops/iter, 4.320s
  0       8.8871e-04      4.352s
  1       4.2279e-10      4.358s
  2       4.1811e-12      4.365s
  3       4.2283e-13      4.371s
  4       1.1500e-13      4.376s
  5       2.4484e-14      4.382s
  [PCG] converged: 5 iterations, res[T] 2.4484e-14, avg 2.32e+06 flops/iter, 4.382s
  0       8.0877e-04      4.417s
  1       2.8199e-10      4.423s
  2       1.1807e-12      4.428s
  3       1.3508e-13      4.434s
  4       3.0594e-14      4.440s
  [PCG] converged: 4 iterations, res[T] 3.0594e-14, avg 2.92e+06 flops/iter, 4.440s
  0       7.3603e-04      4.472s
  1       1.8809e-10      4.478s
  2       1.1743e-12      4.484s
  3       1.5387e-13      4.490s
  4       4.2832e-14      4.496s
  [PCG] converged: 4 iterations, res[T] 4.2832e-14, avg 2.95e+06 flops/iter, 4.496s
  0       6.6982e-04      4.528s
  1       1.2545e-10      4.534s
  2       1.9999e-12      4.540s
  3       2.0117e-13      4.545s
  4       5.2233e-14      4.551s
  [PCG] converged: 4 iterations, res[T] 5.2233e-14, avg 2.97e+06 flops/iter, 4.551s
  0       6.0957e-04      4.584s
  1       8.3674e-11      4.589s
  2       2.1161e-12      4.595s
  3       2.5580e-13      4.601s
  4       7.4381e-14      4.607s
  5       7.9480e-15      4.612s
  [PCG] converged: 5 iterations, res[T] 7.9480e-15, avg 2.40e+06 flops/iter, 4.612s
  0       5.5474e-04      4.645s
  1       5.5809e-11      4.651s
  2       3.4641e-13      4.658s
  3       4.1112e-14      4.663s
  [PCG] converged: 3 iterations, res[T] 4.1112e-14, avg 4.02e+06 flops/iter, 4.663s
  0       5.0485e-04      4.696s
  1       3.7224e-11      4.702s
  2       1.4740e-12      4.707s
  3       1.8544e-13      4.713s
  4       5.2085e-14      4.718s
  5       1.0363e-14      4.724s
  [PCG] converged: 5 iterations, res[T] 1.0363e-14, avg 2.44e+06 flops/iter, 4.724s
  0       4.5944e-04      4.757s
  1       2.4828e-11      4.763s
  2       5.5342e-13      4.768s
  3       5.4148e-14      4.774s
  4       1.3622e-14      4.780s
  [PCG] converged: 4 iterations, res[T] 1.3622e-14, avg 3.07e+06 flops/iter, 4.780s
  0       4.1811e-04      4.813s
  1       1.6560e-11      4.819s
  2       5.1174e-13      4.824s
  3       6.2569e-14      4.830s
  4       2.0323e-14      4.836s
  [PCG] converged: 4 iterations, res[T] 2.0323e-14, avg 3.10e+06 flops/iter, 4.836s
  0       3.8050e-04      4.868s
  1       1.1046e-11      4.874s
  2       9.9598e-13      4.880s
  3       8.9129e-14      4.886s
  4       2.5645e-14      4.892s
  [PCG] converged: 4 iterations, res[T] 2.5645e-14, avg 3.12e+06 flops/iter, 4.892s
  0       3.4628e-04      4.925s
  1       7.3686e-12      4.931s
  2       1.0030e-12      4.936s
  3       1.1405e-13      4.942s
  4       3.8779e-14      4.948s
  5       5.2769e-15      4.953s
  [PCG] converged: 5 iterations, res[T] 5.2769e-15, avg 2.52e+06 flops/iter, 4.953s
  0       3.1513e-04      4.986s
  1       4.9136e-12      4.992s
  2       1.8693e-13      4.998s
  3       2.4638e-14      5.004s
  [PCG] converged: 3 iterations, res[T] 2.4638e-14, avg 4.22e+06 flops/iter, 5.004s
  0       2.8679e-04      5.037s
  1       3.2809e-12      5.043s
  2       9.2424e-13      5.048s
  3       1.0978e-13      5.054s
  4       3.2731e-14      5.060s
  5       8.6744e-15      5.065s
  [PCG] converged: 5 iterations, res[T] 8.6744e-15, avg 2.56e+06 flops/iter, 5.065s
  0       2.6099e-04      5.098s
  1       2.1869e-12      5.104s
  2       4.1033e-13      5.109s
  3       3.8850e-14      5.115s
  4       1.0632e-14      5.121s
  [PCG] converged: 4 iterations, res[T] 1.0632e-14, avg 3.22e+06 flops/iter, 5.121s
  0       2.3752e-04      5.154s
  1       1.4594e-12      5.159s
  2       4.1255e-13      5.165s
  3       4.0382e-14      5.171s
  4       1.4930e-14      5.176s
  [PCG] converged: 4 iterations, res[T] 1.4930e-14, avg 3.24e+06 flops/iter, 5.176s
  0       2.1615e-04      5.209s
  1       9.7777e-13      5.215s
  2       5.7071e-13      5.220s
  3       6.1493e-14      5.226s
  4       1.8559e-14      5.232s
  [PCG] converged: 4 iterations, res[T] 1.8559e-14, avg 3.27e+06 flops/iter, 5.232s
  0       1.9671e-04      5.265s
  1       6.5829e-13      5.270s
  2       5.9782e-13      5.276s
  3       7.3040e-14      5.282s
  4       2.6442e-14      5.287s
  5       4.3586e-15      5.293s
  [PCG] converged: 5 iterations, res[T] 4.3586e-15, avg 2.64e+06 flops/iter, 5.293s
  0       1.7902e-04      5.326s
  1       4.3397e-13      5.332s
  2       1.9438e-13      5.337s
  3       1.8175e-14      5.343s
  4       5.5864e-15      5.349s
  [PCG] converged: 4 iterations, res[T] 5.5864e-15, avg 3.32e+06 flops/iter, 5.349s
  0       1.6291e-04      5.382s
  1       2.9019e-13      5.387s
  2       1.5948e-13      5.393s
  3       2.6067e-14      5.399s
  4       8.0292e-15      5.404s
  [PCG] converged: 4 iterations, res[T] 8.0292e-15, avg 3.34e+06 flops/iter, 5.404s
  0       1.4826e-04      5.437s
  1       1.9717e-13      5.443s
  2       1.9179e-13      5.448s
  3       3.5878e-14      5.454s
  4       1.1729e-14      5.460s
  [PCG] converged: 4 iterations, res[T] 1.1729e-14, avg 3.37e+06 flops/iter, 5.460s
  0       1.3493e-04      5.494s
  1       1.4330e-13      5.500s
  2       1.5499e-13      5.505s
  3       5.0364e-14      5.511s
  4       1.6654e-14      5.517s
  5       3.0353e-15      5.522s
  [PCG] converged: 5 iterations, res[T] 3.0353e-15, avg 2.72e+06 flops/iter, 5.522s
  0       1.2279e-04      5.555s
  1       8.9085e-14      5.561s
  2       9.6958e-14      5.567s
